"nummer","hersteller","anzeigename","fahrzeug","klasse","baujahr","bild"
"27","Mercedes-AMG","Mercedes-AMG AMG GT3 Evo","AMG GT3 Evo","GT3","2020","Mercedes-AMG-GT3-2020.png"
"28","Audi","Audi R8 LMS GT3 Evo II","R8 LMS GT3 Evo II","GT3","2022","Audi-R8-LMS-Evo-II-2022.png"
"29","Ferrari","Ferrari 296 GT3","296 GT3","GT3","2023","Ferrari-296-GT3-2023.png"
"30","Lamborghini","Lamborghini Huracan GT3 EVO2","Huracan GT3 EVO2","GT3","2023","Lamborghini-Huracan-GT3-EVO2-2023.png"
"31","Porsche","Porsche 911 GT3 R (992)","911 GT3 R (992)","GT3","2023","Porsche-992-GT3-R-2023.png"
"32","Alpine","Alpine A110 GT4","A110 GT4","GT4","2018","Alpine-A110-GT4-2018.png"
"33","Aston Martin","Aston Martin V8 Vantage GT4","V8 Vantage GT4","GT4","2018","Aston-Martin-AMR-V8-Vantage-GT4-2018.png"
"34","Audi","Audi R8 LMS GT4","R8 LMS GT4","GT4","2018","Audi-R8-LMS-GT4-2018.png"
"35","BMW","BMW M4 GT4","M4 GT4","GT4","2018","BMW-M4-GT4-2018.png"
"36","Chevrolet","Chevrolet Camaro GT4.R","Camaro GT4.R","GT4","2017","Chevrolet-Camaro-GT4.R-2017.png"
"37","Ginetta","Ginetta G55 GT4","G55 GT4","GT4","2012","Ginetta-G55-GT4-2012.png"
"38","KTM","KTM X-Bow GT4","X-Bow GT4","GT4","2016","KTM-X-Bow-GT4-2016.png"
"39","Maserati","Maserati GranTurismo MC GT4","GranTurismo MC GT4","GT4","2016","Maserati-GranTurismo-MC-GT4-2016.png"
"40","McLaren","McLaren 570S GT4","570S GT4","GT4","2016","McLaren-570S-GT4-2016.png"
"41","Mercedes-AMG","Mercedes-AMG AMG GT4","AMG GT4","GT4","2016","Mercedes-AMG-GT4-2016.png"
"42","Porsche","Porsche 718 Cayman GT4 Clubsport","718 Cayman GT4 Clubsport","GT4","2019","Porsche-718-Cayman-GT4-Clubsport-2019.png"
"43","Audi","Audi R8 LMS GT2","R8 LMS GT2","GT2","2021","Audi-R8-LMS-GT2.png"
"44","KTM","KTM X-Bow GT2","X-Bow GT2","GT2","2024","KTM-X-BOW-GT2.png"
"45","Maserati","Maserati MC20 GT2","MC20 GT2","GT2","2023","Maserati-MC20-GT2.png"
"46","Mercedes-AMG","Mercedes-AMG AMG GT2","AMG GT2","GT2","2022","Mercedes-AMG-GT2.png"
"47","Porsche","Porsche 911 GT2 RS Clubsport Evo","911 GT2 RS Clubsport Evo","GT2","2023","Porsche-991II-GT2-RS-CS-Evo.png"
"48","Porsche","Porsche 935","935","GT2","2019","Porsche-935.png"
"49","Ferrari","Ferrari 488 Challenge Evo","488 Challenge Evo","GTC","2020","Ferrari-488-Challenge-Evo-2020.png"
"50","Lamborghini","Lamborghini Huracan Super Trofeo","Huracan Super Trofeo","GTC","2015",
"51","Lamborghini","Lamborghini Huracan Super Trofeo EVO2","Huracan Super Trofeo EVO2","GTC","2021","Lamborghini-Huracan-ST-EVO2-2021.png"
"52","Porsche","Porsche 911 GT3 Cup (991 II)","911 GT3 Cup (991 II)","GTC","2017",
"53","Porsche","Porsche 911 GT3 Cup (992)","911 GT3 Cup (992)","GTC","2021","Porsche-992-GT3-Cup-2021.png"
"54","BMW","BMW M2 CS Racing","M2 CS Racing","TCX","2020","BMW-M2-CS-Racing-2020.png"
